src,tgt
87-66+25=,46
77+17+25=,119
71-38+90=,123
55-93-65=,-103
27+100-32=,95
64-18+92=,138
61+96-79=,78
79-22+7=,64
52+25+46=,123
77-8+81=,150
40+17-74=,-17
94-34-25=,35
91+2+37=,130
42+96-5=,133
72+14-50=,36
37-94+32=,-25
18-10-53=,-45
97+59+28=,184
99-90-58=,-49
6+77-65=,18
19+54-10=,63
34-30-17=,-13
69-68-97=,-96
84+42+30=,156
88-14-99=,-25
83+52-74=,61
93-95-92=,-94
21+29-93=,-43
35-6+77=,106
14+30-17=,27
11+30+18=,59
26+67+73=,166
97-46-56=,-5
15-90+51=,-24
9-41-14=,-46
100-35-16=,49
94-37-86=,-29
82-77-68=,-63
70-89-52=,-71
93+14-61=,46
10+83+62=,155
34-65+8=,-23
16+6-47=,-25
19-44+70=,45
9-23+33=,19
17+72+46=,135
97-68+14=,43
53+78+95=,226
59-26+18=,51
96-58-95=,-57
94+40-58=,76
2-96-90=,-184
31+80-97=,14
80+80-41=,119
9-38-13=,-42
41+0-13=,28
70+51-31=,90
74-2+84=,156
12+57-6=,63
77+76-82=,71
49+37+56=,142
90-56+58=,92
67-20+5=,52
21-57-32=,-68
67+97+0=,164
31-76+9=,-36
16-0-89=,-73
15-65+21=,-29
5+48-16=,37
24-88+1=,-63
96+22-24=,94
75+28+34=,137
25-62-91=,-128
7+46-18=,35
13-26-82=,-95
52+87+86=,225
38-37+30=,31
52-81+72=,43
58-47+57=,68
86+41-2=,125
88+97+29=,214
55+75+83=,213
53-14-6=,33
20-15-80=,-75
97+85+85=,267
0-65+46=,-19
28+9-65=,-28
85+60-93=,52
24+37-78=,-17
20-83-77=,-140
50+17-38=,29
92+15-8=,99
24-8+4=,20
44-26+96=,114
65+97+47=,209
49-5+29=,73
40-58-79=,-97
5+69-33=,41
13+9-69=,-47
5+99+59=,163
20+86-17=,89
3+2-38=,-33
61+61-65=,57
15+80-94=,1
97+62-66=,93
63-49-67=,-53
10+24-89=,-55
96+81+8=,185
34+28-63=,-1
72+62+16=,150
79+84-89=,74
23+44-25=,42
50+48-20=,78
0+3-93=,-90
87-77-75=,-65
52-55-15=,-18
71-51+53=,73
19-22+76=,73
49-1-5=,43
59+51+48=,158
22+0+60=,82
77-88-98=,-109
26+50+99=,175
55-20-98=,-63
73-50-11=,12
33+7-31=,9
97+32+14=,143
56+88+73=,217
76+27-26=,77
94+78+81=,253
82-43-68=,-29
3+22-42=,-17
51+34-66=,19
88-73-23=,-8
58+22+75=,155
4+0-5=,-1
84-52+78=,110
13+23+44=,80
87-77+25=,35
84+54+93=,231
55+94+22=,171
32+21+83=,136
95-71-24=,0
57+73-86=,44
1+64+83=,148
45+96-27=,114
87-44+61=,104
86+87-7=,166
56-77-93=,-114
50-62+21=,9
62+62+50=,174
100-91+92=,101
63-82-69=,-88
57+12-4=,65
21-63+46=,4
59+64+16=,139
41-57-56=,-72
68-37-67=,-36
84+35+6=,125
75+31+45=,151
30-90+92=,32
64+55-41=,78
56+64+99=,219
100+53-5=,148
44+33+52=,129
45-93-46=,-94
96-68+21=,49
89+63-52=,100
87-87+6=,6
27+79+52=,158
21+90-61=,50
50-82-74=,-106
1+17-42=,-24
59+11+71=,141
85+40+75=,200
78-0-64=,14
44-100-94=,-150
11+46+20=,77
76+81-36=,121
69-52-93=,-76
53-47-82=,-76
2+33+40=,75
47+67+54=,168
51-66+1=,-14
92+21+40=,153
40-66-42=,-68
72-74-49=,-51
49+32+90=,171
41-15+30=,56
31-22-48=,-39
7-22+49=,34
10+11+68=,89
47-27+51=,71
85+37-73=,49
58+78+17=,153
40+78+62=,180
100+69-56=,113
31-72-21=,-62
24+5+5=,34
1-40-100=,-139
6+95-42=,59
16+8+93=,117
94+83+53=,230
54+35-21=,68
31+84-46=,69
5-84+27=,-52
72+40+41=,153
30+57+71=,158
35+25-46=,14
57-19+85=,123
91-91+99=,99
36-13-82=,-59
20-44+11=,-13
3+77-77=,3
71-22+86=,135
62-48+59=,73
23+60-6=,77
84-98-1=,-15
42-89-51=,-98
58+86+39=,183
76+21+10=,107
78-16-64=,-2
45+44+86=,175
39-56+53=,36
99-82+41=,58
24+90-65=,49
25-3-81=,-59
15-11+90=,94
31-24+23=,30
27-4+82=,105
53+8+97=,158
33+17+71=,121
57-14-62=,-19
49-66+56=,39
83+60-56=,87
74+1-1=,74
45+90-37=,98
54-33-99=,-78
92-48-37=,7
5+59+87=,151
76+94-74=,96
4-98+55=,-39
96-51-76=,-31
89-100-55=,-66
13+9+73=,95
19+55-79=,-5
70+91+3=,164
8+55-75=,-12
0+24+60=,84
55-60-40=,-45
70-69+77=,78
34-67+90=,57
44+1+32=,77
76-13+72=,135
78+33+86=,197
64+84+38=,186
71+94+51=,216
94-8-19=,67
23+3-58=,-32
15-28-14=,-27
39+53-78=,14
89-42-86=,-39
30-28-51=,-49
87+57-48=,96
83+89+15=,187
50-1-86=,-37
68-98+84=,54
98+99-51=,146
0-19-37=,-56
60+69+28=,157
67+12-30=,49
95-36-79=,-20
67+34-55=,46
67-0+88=,155
84-9+9=,84
62+83-80=,65
34+85-88=,31
7+21+90=,118
21+91-63=,49
49-30-73=,-54
39-70-79=,-110
21+48-46=,23
32+92-85=,39
10-36-8=,-34
5+99+44=,148
93+21+19=,133
26+37+5=,68
75+79-89=,65
23+47-4=,66
63+43+82=,188
43-97+5=,-49
30-14-1=,15
70+26+8=,104
84+36+23=,143
66+39-82=,23
96+0+41=,137
41+56+23=,120
76-66-41=,-31
28-45+93=,76
29+54+81=,164
99+57+37=,193
93-84-77=,-68
33-8+21=,46
29+19-27=,21
22+87+81=,190
57+69-30=,96
78+43+71=,192
44-51-36=,-43
84+8-47=,45
91-12+70=,149
5+85-76=,14
63+32+77=,172
38+67+98=,203
53-13-23=,17
54-62+30=,22
90-36-77=,-23
15-51-66=,-102
99+34-51=,82
85-76+57=,66
5+16+74=,95
69+84-47=,106
100+90+98=,288
53-32+80=,101
50-87+77=,40
36-40+8=,4
37+38+95=,170
51-46-45=,-40
50-8+29=,71
89-2-76=,11
49-12+11=,48
43+22+52=,117
2-43+13=,-28
40+43-71=,12
75-30+31=,76
13-42+24=,-5
13-80+43=,-24
43+48-86=,5
54-53-26=,-25
57-56+14=,15
84-64-35=,-15
20+9+87=,116
39+38+51=,128
2-35-57=,-90
38+92+68=,198
43+69-52=,60
4-64-16=,-76
25-42+25=,8
61-71-60=,-70
19+45-90=,-26
4+5-12=,-3
74+12+99=,185
1-68-72=,-139
51+42+14=,107
15+57+25=,97
44+86-50=,80
78+31+62=,171
39-81+54=,12
4-100+46=,-50
67-70-54=,-57
41+67+38=,146
72+67-9=,130
83+91+56=,230
35-46+63=,52
64-94+75=,45
83+75+18=,176
63-60-38=,-35
43+32-94=,-19
38-92+63=,9
74-89+61=,46
58-4-23=,31
0-69+55=,-14
12-63-13=,-64
43-42-96=,-95
6+48+34=,88
90+62-4=,148
80-38-11=,31
25+3+31=,59
56-95-71=,-110
13+94-85=,22
60+39-83=,16
76-76+7=,7
79+86+5=,170
18+7+42=,67
11+8+51=,70
73-64-86=,-77
35-95+98=,38
38-19+16=,35
91+9-83=,17
35-44+25=,16
54+72+80=,206
79-15+66=,130
13+48+34=,95
3-35+58=,26
45+98-5=,138
39-23-93=,-77
4-23+44=,25
27-24+26=,29
25+82+0=,107
89-41-0=,48
92+28-97=,23
29-64+28=,-7
51-75-21=,-45
89-86+47=,50
35+10-82=,-37
10+32+97=,139
19-96-23=,-100
91-12+90=,169
77+46+76=,199
71-68-71=,-68
21+0-44=,-23
55-37-7=,11
32-0+70=,102
84-73+39=,50
90-26+76=,140
52+25+0=,77
68+23-93=,-2
46+77+94=,217
14-56-16=,-58
60-96-92=,-128
35+62-4=,93
27+58+25=,110
10+6-41=,-25
79+0+92=,171
14-71-40=,-97
85-46+55=,94
48+40-19=,69
36-16+42=,62
56+19-32=,43
31+43+73=,147
31-32-18=,-19
42+75+100=,217
8-76-83=,-151
8+0-79=,-71
87-15+68=,140
42+84+5=,131
27-92-64=,-129
23+65+37=,125
44+30-18=,56
41-63+24=,2
62+87-41=,108
95+90+49=,234
10-46-71=,-107
27+78+63=,168
10-30+43=,23
59+31+77=,167
48-78-24=,-54
56-83+30=,3
61+72-5=,128
17+21+88=,126
78+78+40=,196
0-20-89=,-109
58+6+9=,73
15-19+18=,14
29+99+76=,204
90-90+89=,89
21-77+82=,26
16+41-37=,20
60+12+87=,159
48+45-81=,12
66-53+18=,31
96+16+93=,205
47+20-25=,42
26+7+4=,37
93+51-75=,69
13-95+3=,-79
92+77+63=,232
54+10-41=,23
94-79-97=,-82
39-94-52=,-107
95-49+54=,100
21+19+7=,47
27+47-75=,-1
99+66+57=,222
37+26+8=,71
55+34+63=,152
100+70-27=,143
44-37+11=,18
24-37-42=,-55
8+87+44=,139
37-42-72=,-77
43-96-88=,-141
37-25-1=,11
25-69+64=,20
93-16+63=,140
56-55+54=,55
35-56-29=,-50
46-43+26=,29
37-83-25=,-71
56-5-95=,-44
5-68+66=,3
10-70-66=,-126
81-100-72=,-91
78-28-19=,31
42-41-37=,-36
20-91-16=,-87
76+40-9=,107
1-32-24=,-55
76+12-98=,-10
91-87+12=,16
22-47-35=,-60
3+47-19=,31
38-1+44=,81
52-0+10=,62
74+89+57=,220
82+81+29=,192
82-37-1=,44
72+68+9=,149
89+80+90=,259
99-30-66=,3
86-68+30=,48
31+57+99=,187
87+62-13=,136
80+82-87=,75
61+51-59=,53
72+91+30=,193
86-21+91=,156
52-64+65=,53
97+74-3=,168
16+82-4=,94
96+62+6=,164
4+34+4=,42
84-56-47=,-19
2-54-52=,-104
34-30-72=,-68
78-19+90=,149
73-59-41=,-27
60+99-2=,157
49+3+54=,106
74-53-45=,-24
8+73+72=,153
44+73-30=,87
4+69-58=,15
85-7+30=,108
86-41+20=,65
70-69-88=,-87
81-96+99=,84
2-75+1=,-72
99-85+98=,112
1-43+71=,29
10+90-55=,45
78-94-42=,-58
44+51+34=,129
5+54+6=,65
55+94-55=,94
30-65-17=,-52
60-92+1=,-31
18+61-0=,79
27-95+71=,3
60+86-31=,115
69+3-0=,72
35+10+93=,138
43-43-38=,-38
62+57+3=,122
33-87-30=,-84
47-60-9=,-22
74-76+86=,84
55-74-94=,-113
18-57-40=,-79
11-37+20=,-6
16-27+32=,21
88+40-31=,97
2-97-90=,-185
81-90-53=,-62
75-29-90=,-44
72-29+63=,106
64+74+43=,181
55-30-98=,-73
49-99-37=,-87
19+89+6=,114
14-65-98=,-149
81-21-47=,13
57+29-45=,41
28-70+6=,-36
23+9-56=,-24
21-41+23=,3
78+78-65=,91
50-42-60=,-52
61-56-88=,-83
87+86-31=,142
50+67-16=,101
81-48+42=,75
20+53-9=,64
38+91-47=,82
70+1-43=,28
44-12-82=,-50
51-98+62=,15
23+51-38=,36
88-67-36=,-15
9-89-9=,-89
35+54-24=,65
10-25+84=,69
53-85-68=,-100
44-80-87=,-123
24+4-38=,-10
81+41-92=,30
34-47-54=,-67
79+85-8=,156
26+96-100=,22
28-60+52=,20
71-58-82=,-69
31+50+80=,161
84+86+90=,260
30-65-6=,-41
30+72+85=,187
62+41+7=,110
37+24+98=,159
91+82+20=,193
44+33+65=,142
86-41+60=,105
75-97+6=,-16
14+84+79=,177
15-66-49=,-100
71-48-78=,-55
32+61+32=,125
91+43-24=,110
66-9-0=,57
95+43-73=,65
63+96+44=,203
67-44-52=,-29
10+18+93=,121
99-48-28=,23
92-33-50=,9
36+25-47=,14
63-5-28=,30
0+24+33=,57
44-79+20=,-15
78+48-61=,65
18-51-18=,-51
51-69-1=,-19
56+59-50=,65
70-65-19=,-14
79+17-13=,83
84+12+56=,152
30-42-78=,-90
31-92+7=,-54
64-47-42=,-25
25+6+78=,109
97-60-91=,-54
3+36+97=,136
0+31-81=,-50
50+59+97=,206
70+63+3=,136
80-17+12=,75
43+53+51=,147
33-70+84=,47
3+35-15=,23
30+29+38=,97
21-53-23=,-55
71-88+57=,40
37+34-66=,5
0+46+18=,64
1+18+34=,53
67+93-84=,76
57-2-7=,48
24-43-24=,-43
81-6+37=,112
58-44-4=,10
28-84+39=,-17
52+71-59=,64
72+13-63=,22
0+23+77=,100
50+13+25=,88
16+62+45=,123
18-35-100=,-117
48-47+70=,71
68-86+63=,45
17+9+62=,88
3+72+52=,127
30+48+97=,175
70+54-96=,28
41+25+65=,131
37-60+34=,11
87+24-62=,49
14-7+37=,44
61-93+89=,57
93+71+89=,253
68+53-84=,37
59-27+2=,34
92-10-43=,39
83-48+90=,125
30+32-24=,38
29+63-87=,5
60-19-38=,3
82-82-85=,-85
28-50+56=,34
98-71+100=,127
41+98+73=,212
95+74+75=,244
74-95+50=,29
90+13+38=,141
83-74-57=,-48
30-9-55=,-34
29+33+12=,74
92-56+42=,78
89+1+98=,188
38+99+64=,201
10+7+13=,30
64-68-34=,-38
13+36-26=,23
85+32+70=,187
23-52-56=,-85
81-73+13=,21
24-53+38=,9
100-34+50=,116
11-89+76=,-2
64-26+96=,134
26-85+7=,-52
41-36-41=,-36
89-84+24=,29
10-89+53=,-26
41+51+9=,101
84+26-25=,85
17+15+9=,41
20+79+94=,193
11-40+24=,-5
11+83+11=,105
84-74-35=,-25
83+75-70=,88
66+7+60=,133
8+24-7=,25
94+2+91=,187
54-21+8=,41
93+17+9=,119
95-24-18=,53
38-37-56=,-55
91+93+32=,216
23-15-89=,-81
13+81+87=,181
86+21+63=,170
86+40+49=,175
53+34-12=,75
53-89-32=,-68
60+14-89=,-15
87-10+77=,154
34+39+73=,146
67+29+97=,193
23+24-88=,-41
100+69-83=,86
23+43-95=,-29
35+79-21=,93
39-58-83=,-102
26+71+100=,197
58+11+37=,106
27-60+97=,64
46-22+90=,114
66-32+33=,67
47+56+34=,137
66+8-37=,37
34-92+56=,-2
68-23+65=,110
91-21-88=,-18
0-44+61=,17
29+8-17=,20
18-58-6=,-46
61+66-31=,96
0-74+20=,-54
28+20-86=,-38
61+77+53=,191
43+53+77=,173
5-12-79=,-86
32-85-54=,-107
47-54-99=,-106
3+65-79=,-11
41-83+7=,-35
100-62+30=,68
11+61-44=,28
48+47-38=,57
98-29+96=,165
25-85-30=,-90
20+44+43=,107
17-43-6=,-32
21-15+7=,13
79-3-39=,37
31-12+0=,19
33-56-96=,-119
47-22+83=,108
16-51-14=,-49
35-30-64=,-59
45+43+35=,123
93+30-88=,35
37+44+53=,134
79-68-44=,-33
83+16-23=,76
72+94-58=,108
83+52+65=,200
21-18-23=,-20
68+80+33=,181
36+90-41=,85
14-81-36=,-103
69-1-96=,-28
72+90-16=,146
90+8-21=,77
93-84+78=,87
14-61+84=,37
58-93-37=,-72
10-90-17=,-97
41+94-15=,120
67-34-17=,16
3+37+77=,117
69-9+29=,89
17+98+84=,199
64+92-22=,134
90+91+43=,224
33-33+69=,69
7+61-39=,29
81-34-1=,46
35-2+41=,74
34-43+97=,88
75-27-61=,-13
95-70-76=,-51
74+51+85=,210
38+23+86=,147
94-28+4=,70
82-60+38=,60
76-54+68=,90
57-15-66=,-24
55-76-68=,-89
63-10+15=,68
47-80-17=,-50
49-88+4=,-35
96-44-42=,10
85+20-16=,89
56+75-79=,52
14-100+36=,-50
70-1-12=,57
58+56+49=,163
37+79+0=,116
81-25-30=,26
88+92+80=,260
64+24+28=,116
65-16-16=,33
27-85+6=,-52
12+61+37=,110
28+74-66=,36
18+4+30=,52
17+3-84=,-64
82-26-19=,37
43-18+48=,73
99-12-30=,57
33+51+74=,158
91-50+63=,104
13-44+69=,38
68-56-39=,-27
93+59-55=,97
61-15+57=,103
90+96+6=,192
50-40+35=,45
3+70+65=,138
3+6-17=,-8
22-86-17=,-81
79+70+51=,200
74-9-78=,-13
17-52+95=,60
75-39+50=,86
6+85+63=,154
69+16-35=,50
76+35+5=,116
45+92+42=,179
66+42+24=,132
54-19+26=,61
51-99+56=,8
86+39+37=,162
26+61+12=,99
19+43-65=,-3
57+0+70=,127
40+87+32=,159
38-47-11=,-20
64-0-21=,43
61-29-100=,-68
87+29-42=,74
46-94-76=,-124
79+21-24=,76
8+1+57=,66
60+19+90=,169
6+18+12=,36
91-69+62=,84
40+59-91=,8
14-24+96=,86
28+94-93=,29
43+43+22=,108
86+40-35=,91
57+38+42=,137
29+71+93=,193
11-17+85=,79
94+46+72=,212
53-55+10=,8
60+23-37=,46
99+74+55=,228
69-12-23=,34
87+30+64=,181
34-44-23=,-33
22+1+74=,97
21-97-80=,-156
30-73-89=,-132
9+31-65=,-25
78-57+16=,37
6-14+74=,66
10-83-10=,-83
74+24-12=,86
63+54+60=,177
89-66-86=,-63
80-5-73=,2
13-64+91=,40
74-70+30=,34
29+68-33=,64
90-90+40=,40
69+45-59=,55
77-24+32=,85
32+88+96=,216
38-55+49=,32
46-33-41=,-28
80-65-5=,10
46+19-69=,-4
33+21+24=,78
91+100+97=,288
98+97-5=,190
26+65-66=,25
86-61+29=,54
94-54+3=,43
39-59+63=,43
38-30+68=,76
53-55+60=,58
66+93-53=,106
75-89+51=,37
67-28-43=,-4
22+35-85=,-28
36+35+100=,171
95-42-83=,-30
64-87-82=,-105
7+11+2=,20
3-11+33=,25
61+37+12=,110
22+64-41=,45
34-11-99=,-76
22+41-32=,31
96+83-58=,121
10+44-69=,-15
27-49+9=,-13
91+55+49=,195
42+56+89=,187
51+97-94=,54
58-26+70=,102
26+8+95=,129
91+96-51=,136
42+27+53=,122
20-86-20=,-86
86-7+34=,113
20-63+95=,52
71+50-9=,112
43+23+67=,133
88-96+30=,22
35-45-83=,-93
96-73-18=,5
55+74+31=,160
85-49+26=,62
58-67+70=,61
34-33+66=,67
29-64+14=,-21
0-33-16=,-49
15-43+46=,18
86-58-30=,-2
56+69+98=,223
5+58-87=,-24
92-23-57=,12
18-20-72=,-74
18-86-52=,-120
10-77+11=,-56
47+32+87=,166
9+15+0=,24
41+7-0=,48
38-11-83=,-56
77-38+55=,94
41+14-89=,-34
56+3+48=,107
48+38+64=,150
36-21+26=,41
31+47-66=,12
88+39-21=,106
95+11+3=,109
28-48-45=,-65
73+29+82=,184
92+79-10=,161
21+10-29=,2
79-6-39=,34
100+81+9=,190
16+95+69=,180
81-89-99=,-107
48+9-11=,46
22-95-53=,-126
21+23-80=,-36
23+1+28=,52
87+18-72=,33
28-70+52=,10
55+64+54=,173
61+39+29=,129
45+43-63=,25
36+76+99=,211
0-36+49=,13
100-44+86=,142
18+94-86=,26
26-67+18=,-23
87-14-13=,60
91+75-74=,92
27-42-55=,-70
60+95+45=,200
88-80+84=,92
47-40-7=,0
35-72+99=,62
14-21+42=,35
45+20-84=,-19
95+32+76=,203
9-81+68=,-4
90-44+17=,63
89+37-64=,62
75-61+46=,60
58-14+98=,142
96-95-76=,-75
95+12+74=,181
22-16+85=,91
6-33-98=,-125
47+55+27=,129
53+51+25=,129
29+91-92=,28
86-100-85=,-99
95+48-40=,103
86-90+17=,13
4-61+30=,-27
24-68+52=,8
63-57-11=,-5
49-14-77=,-42
25+51-68=,8
43+96-21=,118
64-94-100=,-130
46+67+38=,151
40+8-33=,15
85-100-55=,-70
65-8-12=,45
79-51+80=,108
46+22-36=,32
48-7+91=,132
50-46+73=,77
63+94-41=,116
66-74-5=,-13
56+33-87=,2
36-90-64=,-118
57+92+28=,177
25-53-4=,-32
65+100+83=,248
39-42+53=,50
70-22+47=,95
43+97+97=,237
9+24-53=,-20
7+53+21=,81
49-57+55=,47
8+74+75=,157
14-71-53=,-110
85-91+14=,8
60-99-77=,-116
1-42-46=,-87
63-28+6=,41
69-63+47=,53
19+15+82=,116
10+15+14=,39
24+11-73=,-38
35-82-94=,-141
73+15+77=,165
53+75-75=,53
37+82-37=,82
0+9+24=,33
39+25-83=,-19
81-2+7=,86
9+71+28=,108
81+48-93=,36
7+97+9=,113
88-57+7=,38
56-81+82=,57
99-51-43=,5
67-52+92=,107
53-62-63=,-72
45+36+18=,99
89-20-74=,-5
97+32+36=,165
24+47-91=,-20
2+56-89=,-31
49-75-27=,-53
77-92-13=,-28
29-58-80=,-109
65-95-55=,-85
99-38+67=,128
89+100+91=,280
90-89-33=,-32
51+98-92=,57
98-77-82=,-61
93+47+66=,206
33+99-95=,37
39-14-66=,-41
28-13+21=,36
93-10-31=,52
65+94+55=,214
76-19-68=,-11
81+25+15=,121
82+54+80=,216
74-43+92=,123
7+79-91=,-5
21-70+36=,-13
92-39+19=,72
39-86-80=,-127
57-52-64=,-59
48-13+2=,37
28+11+58=,97
82-51+77=,108
88+52+85=,225
46-70-74=,-98
45+94+29=,168
87+74-79=,82
34+57+42=,133
87+59-81=,65
50-49-46=,-45
69+6+75=,150
26+55-16=,65
52+75-90=,37
99-29-4=,66
3-76+48=,-25
35-49-33=,-47
8+83+65=,156
24-4+75=,95
75+65-8=,132
91+90+67=,248
57+31+16=,104
61+5-48=,18
55+25-31=,49
91+87+71=,249
50+97+64=,211
88+90-30=,148
4+6-87=,-77
33+61-89=,5
73-51-81=,-59
85-15-31=,39
100-37-50=,13
94-63+13=,44
73+15+20=,108
11+79+71=,161
45+24+14=,83
85-21-93=,-29
10-18-44=,-52
82+1+85=,168
67+95+76=,238
37-46+79=,70
19-92+14=,-59
36-39+55=,52
21+80-60=,41
32-71-2=,-41
88-86-15=,-13
0+53-7=,46
8+53+16=,77
49+56+97=,202
58+78+73=,209
39+39+10=,88
13+76-25=,64
69+100-55=,114
79+74-28=,125
2-6+14=,10
45-77+14=,-18
28+55+69=,152
22-64+60=,18
57-69+81=,69
52-55-6=,-9
34+91+2=,127
36-31-76=,-71
9-33+32=,8
49-59-60=,-70
67+58-54=,71
87+99-75=,111
83-94-34=,-45
23+45+21=,89
24+74-22=,76
97+63-19=,141
20-65-91=,-136
45-74+81=,52
0+52+23=,75
6+11-7=,10
47+56+29=,132
51+55+4=,110
86+26+38=,150
21+66-68=,19
6-67+58=,-3
42+39-82=,-1
38+5+64=,107
90-45+42=,87
93+2-62=,33
85-93-2=,-10
7+29+43=,79
37+84-34=,87
86-54+90=,122
73-67+18=,24
23-100+88=,11
42-68-40=,-66
12+57-75=,-6
96+51+8=,155
99-41+56=,114
69+40-42=,67
22+88-26=,84
65+28-37=,56
56-96+53=,13
92-4+13=,101
100+18-92=,26
39+32+21=,92
55-27+42=,70
50-44-78=,-72
85+77+7=,169
42+16+63=,121
29+48+43=,120
91+17+7=,115
50+7-27=,30
96-80-65=,-49
20-97-48=,-125
40+44-49=,35
41-64-45=,-68
26+53-13=,66
51-69-0=,-18
63+27+5=,95
9+46+31=,86
11+80+38=,129
9-52+67=,24
92+43+68=,203
22+55-19=,58
16+59+100=,175
77+4+94=,175
23+36+38=,97
23+49+15=,87
14+57+16=,87
17-42-16=,-41
72-30-27=,15
93-87-57=,-51
71-49-80=,-58
5-7-34=,-36
43+59-14=,88
41-94+91=,38
29-48-73=,-92
8-66+30=,-28
70-90-55=,-75
29+90-23=,96
39+98+21=,158
56-64-19=,-27
88-36+94=,146
72+31-37=,66
77+74+98=,249
82-53+98=,127
13+74+83=,170
16-54+71=,33
52-0-68=,-16
20+64-89=,-5
91+64+56=,211
58-64-20=,-26
15+54+59=,128
53+98+36=,187
99-37+66=,128
25-60-93=,-128
42-70+28=,0
23+44-67=,0
10-22-45=,-57
2+54-93=,-37
44-91-75=,-122
82-24-7=,51
2+29+53=,84
87+69+28=,184
2-42-2=,-42
64-22+78=,120
87-16-69=,2
21-25+76=,72
14+11-31=,-6
33+7-99=,-59
71-97-40=,-66
37+55+83=,175
70-22-84=,-36
13+29-61=,-19
40-51-99=,-110
67+37+19=,123
73+0-72=,1
62-71-69=,-78
44-26+58=,76
0+87+37=,124
88+44-58=,74
93-77+38=,54
61+83+71=,215
94+22-75=,41
91+23+21=,135
39+82+77=,198
59-64-62=,-67
17+66+69=,152
42-50-46=,-54
53+36-18=,71
61+54-83=,32
73+8-6=,75
51+60-98=,13
36-2+53=,87
62-77-67=,-82
75+41+84=,200
83-11+60=,132
19+12-95=,-64
36+49+55=,140
50-67+4=,-13
31+72-52=,51
18-83+84=,19
55+48-69=,34
6-24-46=,-64
14+11-49=,-24
63-61-62=,-60
64-17-58=,-11
3-32+5=,-24
78+20+87=,185
50+78+84=,212
75-99-54=,-78
5-58+33=,-20
11-2+97=,106
1-24+28=,5
87-81+40=,46
98+59-84=,73
2-5+25=,22
59-36-67=,-44
30-5+46=,71
11+22+92=,125
96-75+80=,101
56-8-84=,-36
32-72-98=,-138
91+21-3=,109
71-39+96=,128
15+7+77=,99
8-59+3=,-48
67-13+71=,125
3+78-23=,58
7-53+65=,19
94+52+64=,210
54+68+11=,133
3+4-63=,-56
53-63-97=,-107
21-87-76=,-142
17+5+1=,23
40-13+74=,101
